Sl. No. Col. (1),State/UT Col. (2),Punishment for Rape (Sec.376 & 376(I) Col. (3),Rape in Custody (Section 376 (2)) - Rape in Custody (Total) - Col. (4),Rape in Custody (Section 376 (2)) - By Police Personnel (Sec.376(2) (a) - Col. (5),Rape in Custody (Section 376 (2)) - By Public Servant (Sec.376(2) (b) - Col. (6),Rape in Custody (Section 376 (2)) - By Member of Armed Forces (Sec.376(2) (c) - Col. (7),Rape in Custody (Section 376 (2)) - By Management/Staff of Jail/Remand Home/Place of Custody (Sec.376(2)(d) - Col. (8),Rape in Custody (Section 376 (2)) - By Management/ Staff of Hospital (Sec.376(2)e) - Col. (9),Other Than Custodial Rape (Section 376(2)) - Rape Other than Custodial (Total) - Col. (10),Other Than Custodial Rape (Section 376(2)) - By Relative/ Guardian / Teacher/ Person in position of trust (Sec.376(2) (f) - Col. (11),Other Than Custodial Rape (Section 376(2)) - On Pregnant Women (Sec.376(2)(h) - Col. (12),Other Than Custodial Rape (Section 376(2)) - On Women Below 16 years of age (Sec.376(2) (i) - Col. (13),Other Than Custodial Rape (Section 376(2)) - On Women Incapable of giving Consent (Sec.376(2) (j) - Col. (14),Other Than Custodial Rape (Section 376(2)) - By Persons in Control or Dominance over women (Sec.376(2) (k) - Col. (15),Other Than Custodial Rape (Section 376(2)) - On Women with Mental or Physical disability (Sec.376(2)(l) - Col. (16),Other Than Custodial Rape (Section 376(2)) - Endanger life of Women after Rape (Sec.376(2)(m) - Col. (17),Other Than Custodial Rape (Section 376(2)) - Repeated Rape on same women (Sec.376(2)(n) - Col. (18),Other Than Custodial Rape (Section 376(2)) - Other Custodial Rapes - Col. (19),Punishment upto 20 years extended to life for Rape (Below 16 Yrs) (Sec.376(3)) - Col. (20),Punishment for causing Death (Sec.376(A)) - Col. (21),By Separated husband (Sec.376 (B)) - Col. (22),Rape of Girl Below 12 Yrs (Imprisonment for life till death) (Sec.376(AB)) - Col. (23),By Person in Authority (Sec.376 (C)) - Col. (24),Gang Rape (Sec.376(D)) - Col. (25),Rape/Gang Rape of Girl Below 16 Yrs (Imprisonment for life till death) (Sec.376(DA)) - Col. (26),Rape/Gang Rape of Girl Below 12 Yrs (Imprisonment for life till death) (Sec.376(DB)) - Col. (27),Punishment for Repeat offenders (Sec.376(E)) - Col. (28),Rape (Total) (Sec.376 IPC) - Col. (29)
1,Andhra Pradesh,753,0,0,0,0,0,0,315,18,1,40,1,0,17,1,197,40,72,0,1,31,1,13,1,0,1,1188
2,Arunachal Pradesh,66,0,0,0,0,0,0,12,3,0,4,0,0,1,0,0,4,2,0,0,2,0,1,0,0,0,83
3,Assam,1455,1,0,1,0,0,0,207,27,1,0,0,0,4,0,4,171,0,3,6,1,1,57,2,0,0,1733
4,Bihar,778,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,786
5,Chhattisgarh,676,3,1,0,1,1,0,381,222,0,0,3,0,3,0,119,34,0,0,0,0,0,33,0,0,0,1093
6,Goa,59,0,0,0,0,0,0,8,4,0,3,0,0,0,0,1,0,0,0,0,3,0,1,1,0,0,72
7,Gujarat,373,0,0,0,0,0,0,199,22,1,0,4,2,4,3,163,0,0,0,0,0,0,17,0,0,0,589
8,Haryana,656,0,0,0,0,0,0,814,13,4,0,0,0,1,0,584,212,0,0,3,0,0,171,0,0,72,1716
9,Himachal Pradesh,282,1,0,0,0,0,1,70,24,1,42,0,0,1,0,2,0,0,0,1,1,0,3,0,0,0,358
10,Jharkhand,1105,0,0,0,0,0,0,215,93,0,38,0,0,1,0,46,37,50,0,0,0,0,55,0,0,0,1425
11,Karnataka,442,0,0,0,0,0,0,100,17,0,0,2,1,5,1,51,23,0,0,0,0,1,12,0,0,0,555
12,Kerala,370,4,0,1,0,0,3,381,32,2,0,3,2,10,3,286,43,0,0,3,0,0,13,0,0,0,771
13,Madhya Pradesh,1042,1,0,0,0,0,1,1754,169,12,0,0,18,5,1,1111,438,0,0,5,0,0,145,0,0,0,2947
14,Maharashtra,1361,0,0,0,0,0,0,1031,77,3,0,24,3,35,7,864,18,15,2,5,9,1,68,3,1,0,2496
15,Manipur,22,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
16,Meghalaya,63,0,0,0,0,0,0,10,3,0,0,0,0,5,1,1,0,0,0,0,0,0,2,0,0,0,75
17,Mizoram,14,1,1,0,0,0,0,7,1,0,0,0,0,6,0,0,0,0,0,0,1,1,2,0,0,0,26
18,Nagaland,1,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
19,Odisha,990,0,0,0,0,0,0,457,394,0,0,0,0,0,0,63,0,0,2,0,0,0,7,0,0,0,1456
20,Punjab,436,1,0,0,0,1,0,4,0,0,0,0,0,1,0,3,0,0,0,0,1,0,21,1,0,0,464
21,Rajasthan,3847,1,1,0,0,0,0,1232,406,1,116,175,22,1,0,390,121,21,1,2,35,0,1153,40,5,0,6337
22,Sikkim,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
23,Tamil Nadu,344,0,0,0,0,0,0,72,30,0,0,16,2,6,1,16,1,0,0,2,0,0,4,0,0,0,422
24,Telangana,556,1,0,0,0,0,1,245,12,0,0,27,2,9,0,161,34,0,0,2,0,1,18,0,0,0,823
